query,item_id,item_url,title,authors,certificate_or_type,journal_name,journal_url,issue,issue_url
geoai,74069173,https://elibrary.ru/item.asp?id=74069173,GEOAI FOR SCIENCE AND THE SCIENCE OF GEOAI,"Li W., Arundel S., Gao S., Goodchild M., Hu Y., Wang Sh., Zipf A.",1 Journal of Spatial Information Science . 2024. № 29 . С. 1-17.,Journal of Spatial Information Science,https://elibrary.ru/contents.asp?id=74069172,№ 29,https://elibrary.ru/contents.asp?id=74069172&selid=74069173
geoai,82078092,https://elibrary.ru/item.asp?id=82078092,HUMAN-CENTERED GEOAI FOUNDATION MODELS: WHERE GEOAI MEETS HUMAN DYNAMICS,"Ye X., Du J., Li X., Shaw Sh.L., Fu Ya., Dong X., Zhang Zh., Wu L.",2 Urban Informatics . 2025. Т. 4. № 1 . С. 2.,Urban Informatics,https://elibrary.ru/contents.asp?id=80871801,№ 1,https://elibrary.ru/contents.asp?id=80871801&selid=82078092
geoai,87410221,https://elibrary.ru/item.asp?id=87410221,GEOAI EDITORIAL VOLUME 5: GEOAI FRONTIER FORUM,,3 Geodata and AI . 2025. Т. 5. С. 100041.,Geodata and AI,https://elibrary.ru/contents.asp?id=86646508,,
geoai,87583663,https://elibrary.ru/item.asp?id=87583663,GEOAI DATASET FOR BUILDING CHANGE DETECTION FROM CAS500-1,"Jin D., Park Ji.S., Jang Yu., Lee S., Chi Ju.",4 Geo Data . 2025. Т. 7. № 3 . С. 216-229.,Geo Data,https://elibrary.ru/contents.asp?id=86204300,№ 3,https://elibrary.ru/contents.asp?id=86204300&selid=87583663
geoai,87585936,https://elibrary.ru/item.asp?id=87585936,GEOSPATIAL ARTIFICIAL INTELLIGENCE (GEOAI) IS WIDENING THE DIGITAL DIVIDE,Huang X.,5 Annals of the American Association of Geographers . 2025. Т. 115. № 9 . С. 2017-2029.,Annals of the American Association of Geographers,https://elibrary.ru/contents.asp?id=86212269,№ 9,https://elibrary.ru/contents.asp?id=86212269&selid=87585936
geoai,87628514,https://elibrary.ru/item.asp?id=87628514,"MAPPING URBAN SEGREGATION WITH GEOAI: STREET VIEW PERCEPTIONS AND SOCIO-SPATIAL INEQUALITY IN THESSALONIKI, GREECE","Vartholomaios A., Lagarias A.",6 Land . 2025. Т. 14. № 10 . С. 2083.,Land,https://elibrary.ru/contents.asp?id=83152444,№ 10,https://elibrary.ru/contents.asp?id=83152444&selid=87628514
geoai,87646181,https://elibrary.ru/item.asp?id=87646181,GEOAI BENCHMARK PROBLEMS BM/AIRPORTSOILPROPERTIES/2/2025,"Otake Yu., Ching J., Saito T., Asano K.",7 Geodata and AI . 2025. Т. 2. С. 100012.,Geodata and AI,https://elibrary.ru/contents.asp?id=86358957,,
geoai,87653502,https://elibrary.ru/item.asp?id=87653502,UNCOVERING SPATIOTEMPORAL URBAN FLOOD DYNAMICS: AN EXPLAINABLE GEOAI APPROACH TO LAND COVER CHANGE OVER TWO DECADES,"Tella A., Zahidi I., Fai Ch.M., Pham Q.B.",8 Earth Systems and Environment . 2025.,Earth Systems and Environment,https://elibrary.ru/contents.asp?id=54871013,,
geoai,87796621,https://elibrary.ru/item.asp?id=87796621,FLOOD RISK ANALYSIS WITH EXPLAINABLE GEOSPATIAL ARTIFICIAL INTELLIGENCE (GEOAI) TECHNIQUES,"Derman M.T., Mete M.O.",9 Systems . 2025. Т. 13. № 11 . С. 1007.,Systems,https://elibrary.ru/contents.asp?id=86463731,№ 11,https://elibrary.ru/contents.asp?id=86463731&selid=87796621
geoai,87405420,https://elibrary.ru/item.asp?id=87405420,A STUDY ON GEOAI TECHNOLOGY AND POLICY ADVANCEMENT STRATEGIES FOR INTELLIGENT NATIONAL LAND MANAGEMENT,Choi K.,10 Journal of the Korean Society of Surveying Geodesy Photogrammetry and Cartography . 2025. Т. 43. № 4 . С. 421-435.,Journal of the Korean Society of Surveying Geodesy Photogrammetry and Cartography,https://elibrary.ru/contents.asp?id=86915004,№ 4,https://elibrary.ru/contents.asp?id=86915004&selid=87405420
